id_number,Nat,Edad,coding
3557,Paraguay,65,P_1959_LOWER
4087,CH,86,C_1938_UPPER
373,uruguay,56,U_1968_UPPER
4889,uruguay,35,U_1989_UPPER
3473,BRA,34,B_1990_LOWER
2233,MEX,66,M_1958_MID
3107,Argentina,77,A_1947_LOWER
4885,Chile,59,C_1965_MID
1103,PAR,32,P_1992_LOWER
4831,arg,81,A_1943_UPPER
4074,CH,67,C_1957_LOWER
734,URU,68,U_1956_UPPER
1633,MEX,71,M_1953_UPPER
335,CH,39,C_1985_UPPER
3398,MEX,38,M_1986_MID
3270,Mexico,73,M_1951_UPPER
3060,Uruguay,-1,U_X_MID
3297,Uruguay,47,U_1977_MID
2390,Brasil,60,B_1964_UPPER
1981,Brasil,-1,B_X_LOWER
4364,uruguay,68,U_1956_UPPER
3930,Chile,72,C_1952_UPPER
3948,CH,67,C_1957_UPPER
775,MEX,63,M_1961_MID
10,Paraguay,55,P_1969_UPPER
3469,Brazil,-1,B_X_LOWER
4678,Mexico,55,M_1969_UPPER
4536,Uruguay,19,U_2005_MID
3051,Uruguay,49,U_1975_MID
1808,uruguay,-1,U_X_LOWER
4053,argentina,52,A_1972_MID
4820,México,-1,M_X_LOWER
1068,Brasil,35,B_1989_MID
1020,Chile,67,C_1957_UPPER
759,argentina,47,A_1977_UPPER
914,Brasil,66,B_1958_UPPER
2100,PAR,28,P_1996_UPPER
3113,chile,70,C_1954_UPPER
3291,arg,37,A_1987_UPPER
901,Mexico,37,M_1987_UPPER
1404,BRA,-1,B_X_LOWER
4187,arg,-1,A_X_LOWER
3343,CH,57,C_1967_UPPER
3956,Argentina,79,A_1945_UPPER
3182,,71,X_1953_UPPER
3158,Argentina,63,A_1961_UPPER
3208,Mexico,-1,M_X_UPPER
3702,CH,53,C_1971_UPPER
3413,Chile,-1,C_X_UPPER
4184,,72,X_1952_UPPER
3392,uruguay,54,U_1970_UPPER
4632,MEX,29,M_1995_LOWER
646,Mexico,77,M_1947_UPPER
1952,URU,36,U_1988_MID
4583,Chile,39,C_1985_LOWER
4866,,32,X_1992_MID
1106,Uruguay,42,U_1982_MID
4325,MEX,29,M_1995_LOWER
3720,chile,-1,C_X_LOWER
721,uruguay,57,U_1967_UPPER
359,Brasil,66,B_1958_UPPER
2465,Brazil,52,B_1972_UPPER
3155,Argentina,71,A_1953_LOWER
140,PAR,71,P_1953_UPPER
3723,Chile,54,C_1970_LOWER
2010,Mexico,-1,M_X_LOWER
3674,Uruguay,59,U_1965_MID
3918,Brasil,-1,B_X_LOWER
3402,BRA,75,B_1949_UPPER
1791,Brasil,-1,B_X_MID
3315,BRA,-1,B_X_MID
2068,BRA,-1,B_X_LOWER
527,Brazil,41,B_1983_MID
4310,MEX,32,M_1992_MID
1278,Brazil,68,B_1956_LOWER
2290,,68,X_1956_UPPER
3375,CH,61,C_1963_MID
3765,uruguay,75,U_1949_MID
3173,Brasil,42,B_1982_UPPER
959,uruguay,71,U_1953_MID
4211,PAR,30,P_1994_LOWER
843,Paraguay,32,P_1992_MID
1610,PAR,76,P_1948_UPPER
2533,uruguay,29,U_1995_LOWER
1380,BRA,-1,B_X_LOWER
3178,chile,81,C_1943_UPPER
3935,PAR,35,P_1989_MID
2404,PAR,53,P_1971_UPPER
3162,Paraguay,71,P_1953_LOWER
3561,Paraguay,-1,P_X_LOWER
2670,Argentina,76,A_1948_UPPER
1138,MEX,-1,M_X_LOWER
3855,Brasil,60,B_1964_UPPER
2468,Argentina,47,A_1977_LOWER
3157,México,53,M_1971_MID
897,chile,59,C_1965_LOWER
1273,CH,-1,C_X_UPPER
55,URU,32,U_1992_LOWER
2112,Mexico,50,M_1974_LOWER
1335,México,-1,M_X_UPPER
4549,chile,61,C_1963_UPPER
1316,BRA,-1,B_X_LOWER
1667,argentina,77,A_1947_MID
1857,Paraguay,59,P_1965_MID
3881,argentina,-1,A_X_LOWER
2664,Paraguay,59,P_1965_LOWER
3479,MEX,47,M_1977_LOWER
2867,Brasil,36,B_1988_UPPER
3499,Mexico,45,M_1979_MID
90,Uruguay,68,U_1956_MID
356,CH,51,C_1973_MID
2189,MEX,-1,M_X_UPPER
1132,MEX,46,M_1978_UPPER
174,argentina,74,A_1950_MID
540,Argentina,-1,A_X_LOWER
2042,,63,X_1961_LOWER
4581,uruguay,70,U_1954_UPPER
17,Brasil,49,B_1975_LOWER
262,chile,71,C_1953_UPPER
2830,BRA,57,B_1967_MID
1058,Brazil,-1,B_X_LOWER
4413,MEX,38,M_1986_LOWER
1947,Mexico,34,M_1990_LOWER
1220,BRA,56,B_1968_MID
3152,PAR,38,P_1986_LOWER
2791,MEX,-1,M_X_MID
1602,BRA,35,B_1989_UPPER
509,BRA,54,B_1970_MID
4381,Argentina,55,A_1969_MID
2388,México,44,M_1980_MID
3093,MEX,49,M_1975_LOWER
907,Argentina,83,A_1941_LOWER
2312,BRA,-1,B_X_LOWER
2809,MEX,49,M_1975_LOWER
787,MEX,35,M_1989_LOWER
1798,chile,79,C_1945_UPPER
227,arg,34,A_1990_LOWER
2538,MEX,-1,M_X_MID
4610,uruguay,74,U_1950_UPPER
969,,49,X_1975_UPPER
2993,BRA,-1,B_X_MID
766,Argentina,56,A_1968_UPPER
1173,Brazil,74,B_1950_UPPER
1766,CH,-1,C_X_UPPER
3314,uruguay,-1,U_X_LOWER
4646,Mexico,-1,M_X_LOWER
1718,PAR,45,P_1979_MID
2900,URU,-1,U_X_LOWER
2022,URU,61,U_1963_UPPER
2309,PAR,72,P_1952_UPPER
4900,México,77,M_1947_LOWER
1275,arg,60,A_1964_UPPER
828,Uruguay,47,U_1977_MID
2382,CH,37,C_1987_MID
417,arg,35,A_1989_LOWER
300,Paraguay,63,P_1961_LOWER
2914,PAR,45,P_1979_MID
2171,PAR,-1,P_X_MID
4286,México,-1,M_X_LOWER
1755,Brazil,27,B_1997_UPPER
77,arg,38,A_1986_LOWER
4294,Uruguay,53,U_1971_MID
1645,arg,59,A_1965_LOWER
3589,Uruguay,-1,U_X_MID
2332,uruguay,76,U_1948_UPPER
719,Brasil,61,B_1963_UPPER
2007,Uruguay,57,U_1967_MID
3029,MEX,64,M_1960_LOWER
2644,Brasil,69,B_1955_UPPER
3057,Mexico,35,M_1989_LOWER
4131,arg,82,A_1942_LOWER
2466,MEX,51,M_1973_UPPER
2648,PAR,40,P_1984_MID
3725,Uruguay,-1,U_X_MID
4786,argentina,59,A_1965_LOWER
382,Brasil,35,B_1989_MID
3169,México,40,M_1984_UPPER
3824,Chile,58,C_1966_LOWER
3584,Argentina,84,A_1940_UPPER
1473,chile,57,C_1967_MID
3017,Chile,82,C_1942_UPPER
4710,Brasil,50,B_1974_UPPER
1513,BRA,-1,B_X_LOWER
3171,chile,36,C_1988_LOWER
3954,Chile,56,C_1968_MID
3654,Mexico,29,M_1995_LOWER
1094,México,50,M_1974_MID
2160,Mexico,67,M_1957_UPPER
2573,Chile,75,C_1949_UPPER
1555,Argentina,77,A_1947_LOWER
1208,chile,69,C_1955_MID
4600,Argentina,54,A_1970_LOWER
1997,uruguay,58,U_1966_UPPER
1271,URU,45,U_1979_UPPER
1510,México,58,M_1966_MID
4459,Brazil,57,B_1967_LOWER
4019,uruguay,51,U_1973_UPPER
4964,uruguay,55,U_1969_UPPER
1315,Paraguay,71,P_1953_LOWER
4418,Brazil,57,B_1967_UPPER
1035,MEX,77,M_1947_UPPER
2873,Uruguay,45,U_1979_MID
1575,Brasil,-1,B_X_MID
3924,Paraguay,72,P_1952_LOWER
203,arg,77,A_1947_LOWER
4123,Brazil,60,B_1964_UPPER
2306,Paraguay,38,P_1986_LOWER
4257,Paraguay,66,P_1958_LOWER
81,uruguay,-1,U_X_LOWER
3766,Chile,41,C_1983_LOWER
3415,Uruguay,-1,U_X_MID
648,Uruguay,29,U_1995_MID
1953,Brasil,35,B_1989_UPPER
2607,CH,68,C_1956_UPPER
2766,Chile,-1,C_X_UPPER
2939,Argentina,38,A_1986_MID
304,CH,68,C_1956_MID
1777,Mexico,57,M_1967_MID
670,Brasil,54,B_1970_UPPER
760,Mexico,56,M_1968_MID
3588,Argentina,81,A_1943_LOWER
2620,Chile,38,C_1986_UPPER
566,,71,X_1953_UPPER
4977,México,38,M_1986_LOWER
4472,Argentina,-1,A_X_LOWER
3936,uruguay,37,U_1987_UPPER
32,arg,54,A_1970_LOWER
3464,BRA,67,B_1957_UPPER
3466,URU,58,U_1966_MID
224,PAR,38,P_1986_UPPER
3790,México,51,M_1973_LOWER
4054,Mexico,57,M_1967_UPPER
920,PAR,68,P_1956_UPPER
1336,Paraguay,-1,P_X_LOWER
2349,México,78,M_1946_MID
3755,Brasil,69,B_1955_UPPER
3781,,-1,X_X_LOWER
4847,chile,82,C_1942_UPPER
2728,Uruguay,45,U_1979_MID
4526,Mexico,43,M_1981_MID
4471,Brazil,47,B_1977_UPPER
1528,Brasil,77,B_1947_UPPER
2218,Brasil,42,B_1982_UPPER
2529,BRA,-1,B_X_LOWER
4612,BRA,28,B_1996_UPPER
3981,Brasil,-1,B_X_LOWER
3425,PAR,56,P_1968_LOWER
3220,,-1,X_X_LOWER
4487,arg,81,A_1943_LOWER
3471,MEX,59,M_1965_MID
3889,BRA,75,B_1949_UPPER
4987,BRA,74,B_1950_UPPER
4270,Mexico,66,M_1958_LOWER
4323,Uruguay,69,U_1955_MID
3138,uruguay,63,U_1961_MID
710,PAR,74,P_1950_UPPER
286,CH,61,C_1963_UPPER
3902,México,41,M_1983_UPPER
789,Uruguay,21,U_2003_MID
4835,MEX,40,M_1984_MID
3092,uruguay,69,U_1955_UPPER
4517,Mexico,79,M_1945_MID
3453,CH,-1,C_X_LOWER
3898,uruguay,35,U_1989_MID
323,BRA,50,B_1974_UPPER
841,MEX,-1,M_X_LOWER
4491,CH,-1,C_X_UPPER
1818,argentina,76,A_1948_UPPER
1344,MEX,35,M_1989_MID
4930,MEX,61,M_1963_LOWER
375,argentina,84,A_1940_MID
3901,MEX,60,M_1964_UPPER
2846,CH,51,C_1973_UPPER
3578,México,47,M_1977_LOWER
1325,Argentina,65,A_1959_MID
3341,BRA,79,B_1945_MID
47,chile,84,C_1940_UPPER
680,Brazil,41,B_1983_UPPER
4507,URU,45,U_1979_LOWER
806,CH,84,C_1940_UPPER
1445,Brazil,-1,B_X_LOWER
4161,Mexico,68,M_1956_UPPER
1503,Argentina,-1,A_X_LOWER
4183,Mexico,47,M_1977_UPPER
2949,arg,49,A_1975_UPPER
3973,Uruguay,64,U_1960_MID
1322,Brazil,58,B_1966_LOWER
92,uruguay,31,U_1993_UPPER
344,Argentina,39,A_1985_LOWER
3615,CH,42,C_1982_MID
3542,Chile,68,C_1956_UPPER
3915,Chile,-1,C_X_LOWER
2845,Paraguay,-1,P_X_LOWER
324,PAR,58,P_1966_MID
3848,Brazil,27,B_1997_LOWER
4823,Brasil,46,B_1978_UPPER
2472,,48,X_1976_UPPER
917,Brasil,62,B_1962_UPPER
4793,Chile,52,C_1972_UPPER
312,Brasil,-1,B_X_UPPER
1317,BRA,62,B_1962_MID
2676,Paraguay,49,P_1975_LOWER
2742,argentina,58,A_1966_UPPER
3592,chile,82,C_1942_LOWER
863,Brazil,27,B_1997_LOWER
4806,PAR,61,P_1963_MID
2104,,77,X_1947_LOWER
4210,Mexico,71,M_1953_UPPER
2946,Brazil,35,B_1989_LOWER
3459,Uruguay,36,U_1988_MID
101,PAR,67,P_1957_LOWER
4615,México,38,M_1986_LOWER
4807,MEX,49,M_1975_UPPER
2969,Brasil,63,B_1961_MID
3526,México,74,M_1950_MID
3747,uruguay,29,U_1995_UPPER
2612,argentina,-1,A_X_LOWER
3394,México,66,M_1958_UPPER
4265,PAR,48,P_1976_MID
2161,Mexico,36,M_1988_LOWER
4198,Brazil,28,B_1996_LOWER
2879,Chile,73,C_1951_LOWER
3621,Paraguay,35,P_1989_LOWER
3450,Argentina,-1,A_X_LOWER
3448,arg,60,A_1964_MID
177,Paraguay,36,P_1988_MID
4957,Mexico,72,M_1952_UPPER
4388,arg,50,A_1974_LOWER
3426,Mexico,57,M_1967_MID
202,Brazil,43,B_1981_UPPER
2311,MEX,78,M_1946_UPPER
900,Brazil,73,B_1951_UPPER
1092,Brasil,39,B_1985_MID
3462,Chile,64,C_1960_MID
3497,Brazil,74,B_1950_UPPER
860,Chile,-1,C_X_LOWER
4351,Uruguay,20,U_2004_MID
1539,argentina,71,A_1953_UPPER
2851,Mexico,-1,M_X_MID
118,BRA,65,B_1959_MID
2599,URU,-1,U_X_MID
4333,Uruguay,20,U_2004_MID
33,Brasil,69,B_1955_UPPER
3921,uruguay,37,U_1987_LOWER
1339,PAR,47,P_1977_UPPER
4457,CH,39,C_1985_LOWER
2216,Argentina,57,A_1967_LOWER
237,chile,63,C_1961_MID
3672,Brasil,77,B_1947_UPPER
1677,arg,65,A_1959_UPPER
3795,Brazil,68,B_1956_UPPER
4069,Argentina,-1,A_X_LOWER
2303,argentina,63,A_1961_MID
4639,uruguay,44,U_1980_MID
4348,uruguay,68,U_1956_UPPER
1831,Argentina,45,A_1979_MID
911,Argentina,63,A_1961_MID
1391,arg,-1,A_X_LOWER
4641,BRA,59,B_1965_UPPER
3852,chile,44,C_1980_MID
2547,uruguay,29,U_1995_MID
1055,PAR,62,P_1962_MID
4796,Chile,81,C_1943_UPPER
4856,URU,28,U_1996_LOWER
712,Mexico,65,M_1959_MID
1810,arg,71,A_1953_LOWER
4144,URU,75,U_1949_UPPER
4271,Paraguay,39,P_1985_MID
1318,BRA,64,B_1960_LOWER
4022,BRA,69,B_1955_MID
3566,uruguay,43,U_1981_LOWER
1392,arg,49,A_1975_LOWER
4379,Uruguay,-1,U_X_MID
3858,Argentina,72,A_1952_LOWER
2365,Argentina,48,A_1976_LOWER
3644,PAR,28,P_1996_LOWER
3846,MEX,77,M_1947_UPPER
1577,Brasil,72,B_1952_UPPER
958,Uruguay,28,U_1996_MID
4877,chile,-1,C_X_MID
2587,CH,49,C_1975_MID
4275,Argentina,56,A_1968_UPPER
2356,Chile,54,C_1970_UPPER
4230,,60,X_1964_MID
995,argentina,-1,A_X_LOWER
1516,arg,-1,A_X_LOWER
1802,URU,59,U_1965_MID
2574,PAR,65,P_1959_UPPER
2274,BRA,-1,B_X_LOWER
610,uruguay,48,U_1976_UPPER
2866,,-1,X_X_LOWER
1164,Chile,51,C_1973_LOWER
3262,PAR,52,P_1972_MID
4525,arg,53,A_1971_LOWER
1159,MEX,-1,M_X_LOWER
1614,México,41,M_1983_UPPER
944,Paraguay,77,P_1947_MID
4901,uruguay,64,U_1960_LOWER
4461,argentina,61,A_1963_LOWER
522,chile,-1,C_X_LOWER
692,CH,42,C_1982_UPPER
2542,argentina,47,A_1977_MID
2637,MEX,69,M_1955_UPPER
3866,uruguay,-1,U_X_LOWER
186,CH,53,C_1971_UPPER
478,uruguay,29,U_1995_LOWER
4771,CH,45,C_1979_UPPER
2976,PAR,69,P_1955_UPPER
1768,Chile,54,C_1970_UPPER
2020,uruguay,57,U_1967_LOWER
4208,Brazil,58,B_1966_MID
4316,CH,80,C_1944_UPPER
3576,uruguay,58,U_1966_MID
1493,Paraguay,50,P_1974_LOWER
2645,,68,X_1956_MID
3957,MEX,52,M_1972_UPPER
1925,Brasil,52,B_1972_UPPER
2963,,50,X_1974_UPPER
3484,Mexico,44,M_1980_LOWER
1006,MEX,62,M_1962_LOWER
2011,Paraguay,59,P_1965_LOWER
135,Paraguay,40,P_1984_LOWER
676,URU,30,U_1994_LOWER
4515,argentina,79,A_1945_UPPER
2435,Brasil,46,B_1978_UPPER
1789,URU,43,U_1981_LOWER
388,,71,X_1953_UPPER
413,MEX,-1,M_X_LOWER
4273,chile,64,C_1960_MID
845,PAR,-1,P_X_LOWER
83,Chile,58,C_1966_UPPER
4864,CH,62,C_1962_MID
3969,arg,71,A_1953_LOWER
1180,Uruguay,68,U_1956_MID
814,Paraguay,61,P_1963_LOWER
3804,CH,-1,C_X_MID
2824,Uruguay,67,U_1957_MID
2313,Argentina,64,A_1960_LOWER
2449,MEX,49,M_1975_MID
4737,Argentina,-1,A_X_LOWER
1735,argentina,84,A_1940_UPPER
4382,México,56,M_1968_LOWER
2577,Brasil,54,B_1970_MID
1793,Brasil,-1,B_X_MID
1515,argentina,40,A_1984_UPPER
2476,argentina,54,A_1970_UPPER
226,chile,46,C_1978_UPPER
877,México,71,M_1953_UPPER
526,MEX,59,M_1965_UPPER
3180,arg,62,A_1962_LOWER
437,Brazil,28,B_1996_LOWER
3139,Brazil,33,B_1991_LOWER
707,Brazil,-1,B_X_LOWER
2790,uruguay,57,U_1967_MID
2235,URU,47,U_1977_UPPER
2539,argentina,61,A_1963_UPPER
3195,Uruguay,25,U_1999_MID
4896,arg,40,A_1984_LOWER
3064,Mexico,64,M_1960_UPPER
3229,Brasil,-1,B_X_LOWER
3244,Brazil,-1,B_X_MID
311,,45,X_1979_MID
4665,Brazil,28,B_1996_LOWER
4460,Uruguay,58,U_1966_MID
979,Brasil,50,B_1974_UPPER
1024,México,74,M_1950_UPPER
1545,PAR,40,P_1984_LOWER
756,México,-1,M_X_LOWER
2699,México,40,M_1984_LOWER
4767,arg,43,A_1981_UPPER
3250,Paraguay,36,P_1988_LOWER
2919,PAR,67,P_1957_LOWER
1081,MEX,76,M_1948_LOWER
1620,,47,X_1977_MID
4802,Argentina,76,A_1948_UPPER
3487,Argentina,65,A_1959_UPPER
336,Paraguay,77,P_1947_LOWER
351,Paraguay,38,P_1986_UPPER
4240,BRA,43,B_1981_MID
1467,arg,38,A_1986_LOWER
3214,Mexico,34,M_1990_UPPER
513,Brazil,45,B_1979_LOWER
1123,Uruguay,62,U_1962_MID
1083,Paraguay,63,P_1961_LOWER
3299,CH,63,C_1961_LOWER
506,,-1,X_X_UPPER
964,uruguay,72,U_1952_MID
1882,argentina,60,A_1964_MID
2471,Brazil,76,B_1948_UPPER
2128,Paraguay,37,P_1987_MID
3504,Brazil,58,B_1966_MID
2105,URU,32,U_1992_LOWER
1621,Brasil,47,B_1977_MID
4757,chile,72,C_1952_UPPER
299,Brasil,43,B_1981_LOWER
2076,CH,72,C_1952_UPPER
479,URU,42,U_1982_UPPER
2797,Uruguay,29,U_1995_MID
1506,BRA,43,B_1981_LOWER
1883,Argentina,49,A_1975_LOWER
277,Argentina,43,A_1981_MID
768,,66,X_1958_UPPER
2457,Paraguay,52,P_1972_LOWER
2414,Paraguay,30,P_1994_LOWER
4475,Mexico,-1,M_X_LOWER
588,Brazil,71,B_1953_LOWER
4512,CH,61,C_1963_MID
1744,Paraguay,40,P_1984_LOWER
2608,CH,47,C_1977_UPPER
3895,Mexico,31,M_1993_LOWER
1371,URU,77,U_1947_UPPER
857,Uruguay,38,U_1986_MID
482,Brasil,73,B_1951_UPPER
1822,MEX,35,M_1989_UPPER
1663,Brazil,-1,B_X_LOWER
821,argentina,39,A_1985_UPPER
4003,Paraguay,34,P_1990_LOWER
1190,Brazil,70,B_1954_UPPER
3634,URU,79,U_1945_LOWER
4421,Uruguay,-1,U_X_LOWER
1302,Chile,71,C_1953_LOWER
1382,Chile,62,C_1962_LOWER
2102,PAR,-1,P_X_UPPER
2234,Uruguay,23,U_2001_MID
3776,PAR,-1,P_X_MID
60,BRA,36,B_1988_UPPER
37,Mexico,52,M_1972_LOWER
2897,Argentina,60,A_1964_LOWER
1519,Chile,-1,C_X_UPPER
4427,México,59,M_1965_LOWER
3081,PAR,65,P_1959_MID
4516,PAR,40,P_1984_LOWER
1605,Brazil,60,B_1964_MID
329,México,69,M_1955_UPPER
1375,Brazil,76,B_1948_UPPER
3867,México,54,M_1970_UPPER
371,URU,75,U_1949_LOWER
717,MEX,60,M_1964_LOWER
1525,Brasil,61,B_1963_LOWER
2572,URU,46,U_1978_MID
2592,chile,56,C_1968_UPPER
745,Chile,76,C_1948_MID
4130,arg,65,A_1959_UPPER
4212,Brasil,57,B_1967_MID
3165,Brazil,41,B_1983_UPPER
1294,Uruguay,32,U_1992_MID
3359,CH,79,C_1945_LOWER
3785,Mexico,-1,M_X_LOWER
4146,BRA,34,B_1990_LOWER
1738,URU,71,U_1953_MID
4627,URU,44,U_1980_LOWER
249,URU,56,U_1968_MID
2719,PAR,75,P_1949_UPPER
337,arg,77,A_1947_LOWER
3511,Argentina,-1,A_X_LOWER
3669,argentina,40,A_1984_MID
2605,Brazil,76,B_1948_UPPER
4496,Argentina,59,A_1965_LOWER
4445,Uruguay,37,U_1987_MID
2855,Mexico,38,M_1986_LOWER
3108,Paraguay,67,P_1957_UPPER
3154,Mexico,70,M_1954_UPPER
1853,Brasil,71,B_1953_UPPER
1527,Paraguay,79,P_1945_LOWER
4135,arg,62,A_1962_LOWER
1329,URU,66,U_1958_UPPER
4011,Uruguay,30,U_1994_MID
1945,chile,-1,C_X_UPPER
4465,Mexico,49,M_1975_UPPER
2426,uruguay,52,U_1972_MID
2673,MEX,68,M_1956_LOWER
4138,argentina,-1,A_X_LOWER
1692,CH,41,C_1983_MID
2049,BRA,-1,B_X_MID
1027,Argentina,57,A_1967_LOWER
2195,chile,-1,C_X_LOWER
4696,BRA,47,B_1977_MID
1107,Mexico,66,M_1958_UPPER
3367,México,38,M_1986_MID
1224,CH,67,C_1957_MID
599,Argentina,54,A_1970_MID
72,PAR,-1,P_X_UPPER
603,MEX,29,M_1995_UPPER
2168,México,72,M_1952_MID
687,CH,84,C_1940_UPPER
3871,Mexico,42,M_1982_UPPER
3143,uruguay,29,U_1995_MID
22,Mexico,37,M_1987_LOWER
2469,Brasil,68,B_1956_UPPER
2961,México,58,M_1966_UPPER
3982,Argentina,41,A_1983_UPPER
4016,Mexico,55,M_1969_MID
1887,CH,60,C_1964_UPPER
2155,México,35,M_1989_MID
1267,chile,74,C_1950_LOWER
116,Mexico,37,M_1987_UPPER
1616,URU,75,U_1949_UPPER
2512,Brazil,48,B_1976_LOWER
4902,Mexico,56,M_1968_LOWER
458,Brazil,49,B_1975_LOWER
3970,Mexico,59,M_1965_MID
4667,argentina,68,A_1956_UPPER
1763,Brasil,38,B_1986_UPPER
3217,Brasil,78,B_1946_LOWER
42,Brasil,-1,B_X_LOWER
4986,Brazil,49,B_1975_UPPER
1823,MEX,40,M_1984_LOWER
1549,chile,80,C_1944_UPPER
4542,Argentina,-1,A_X_UPPER
1395,Uruguay,64,U_1960_MID
2379,argentina,63,A_1961_LOWER
3159,Argentina,-1,A_X_LOWER
2984,PAR,33,P_1991_LOWER
4031,uruguay,43,U_1981_UPPER
2567,Argentina,39,A_1985_LOWER
3481,Paraguay,77,P_1947_UPPER
354,chile,-1,C_X_LOWER
3100,BRA,72,B_1952_UPPER
4637,Brasil,39,B_1985_UPPER
3531,Argentina,52,A_1972_LOWER
1662,URU,60,U_1964_UPPER
2321,BRA,41,B_1983_UPPER
4981,Uruguay,44,U_1980_UPPER
512,URU,-1,U_X_LOWER
2621,Argentina,77,A_1947_LOWER
4037,,55,X_1969_UPPER
616,URU,72,U_1952_MID
4343,CH,66,C_1958_UPPER
2119,Chile,66,C_1958_LOWER
4120,chile,85,C_1939_UPPER
139,Argentina,35,A_1989_MID
1750,uruguay,52,U_1972_LOWER
1351,arg,37,A_1987_LOWER
2025,uruguay,74,U_1950_UPPER
4006,PAR,59,P_1965_LOWER
742,CH,56,C_1968_MID
1897,URU,60,U_1964_LOWER
1505,argentina,-1,A_X_MID
390,Mexico,34,M_1990_MID
2532,chile,43,C_1981_UPPER
602,Paraguay,-1,P_X_LOWER
4446,BRA,49,B_1975_UPPER
4085,México,49,M_1975_UPPER
960,Brasil,45,B_1979_UPPER
3009,Chile,63,C_1961_UPPER
2908,BRA,-1,B_X_UPPER
2369,Chile,44,C_1980_LOWER
1255,URU,52,U_1972_LOWER
3475,Mexico,46,M_1978_UPPER
1300,arg,-1,A_X_LOWER
1813,Brazil,76,B_1948_UPPER
3243,MEX,58,M_1966_MID
991,México,46,M_1978_MID
1411,chile,78,C_1946_MID
4378,MEX,63,M_1961_UPPER
4440,BRA,63,B_1961_MID
867,arg,65,A_1959_LOWER
2740,CH,37,C_1987_UPPER
3342,Argentina,44,A_1980_LOWER
73,arg,-1,A_X_LOWER
2889,Chile,62,C_1962_LOWER
547,Mexico,70,M_1954_UPPER
3502,Paraguay,42,P_1982_LOWER
3716,,61,X_1963_LOWER
2618,Brasil,74,B_1950_UPPER
889,Argentina,53,A_1971_LOWER
436,,68,X_1956_UPPER
4613,Brazil,-1,B_X_MID
4214,CH,62,C_1962_UPPER
112,arg,-1,A_X_LOWER
2491,chile,85,C_1939_UPPER
131,chile,66,C_1958_UPPER
3387,URU,72,U_1952_UPPER
2393,argentina,75,A_1949_UPPER
1064,Mexico,67,M_1957_UPPER
2754,MEX,41,M_1983_UPPER
403,Brazil,72,B_1952_UPPER
1452,MEX,56,M_1968_MID
2590,Brazil,-1,B_X_UPPER
4091,Mexico,50,M_1974_UPPER
2531,,69,X_1955_UPPER
2541,argentina,-1,A_X_LOWER
2387,Paraguay,42,P_1982_LOWER
2335,chile,69,C_1955_UPPER
2917,MEX,42,M_1982_MID
2184,Brazil,41,B_1983_LOWER
2120,BRA,32,B_1992_LOWER
4684,arg,-1,A_X_LOWER
2720,Mexico,39,M_1985_LOWER
2289,chile,79,C_1945_LOWER
2348,Mexico,69,M_1955_MID
3731,Uruguay,54,U_1970_MID
3116,CH,-1,C_X_UPPER
1868,uruguay,30,U_1994_MID
2519,,37,X_1987_UPPER
4266,MEX,70,M_1954_UPPER
3922,PAR,29,P_1995_LOWER
1951,chile,-1,C_X_MID
2245,Argentina,69,A_1955_LOWER
2442,Argentina,76,A_1948_LOWER
4598,Paraguay,-1,P_X_LOWER
3509,BRA,44,B_1980_MID
1002,CH,61,C_1963_MID
695,Mexico,71,M_1953_UPPER
1162,Argentina,67,A_1957_UPPER
1729,CH,44,C_1980_LOWER
2863,URU,65,U_1959_LOWER
954,Brazil,-1,B_X_LOWER
2691,uruguay,45,U_1979_LOWER
4944,Uruguay,55,U_1969_MID
1695,uruguay,47,U_1977_UPPER
2212,BRA,74,B_1950_UPPER
1252,Brazil,41,B_1983_LOWER
1885,Uruguay,-1,U_X_MID
4854,BRA,75,B_1949_UPPER
1965,,-1,X_X_LOWER
4929,CH,72,C_1952_UPPER
1534,Mexico,72,M_1952_UPPER
2033,BRA,77,B_1947_UPPER
3302,arg,50,A_1974_MID
1540,Brazil,-1,B_X_LOWER
805,Brazil,34,B_1990_UPPER
4155,Chile,50,C_1974_UPPER
3386,uruguay,77,U_1947_MID
1471,Chile,62,C_1962_MID
2352,chile,52,C_1972_MID
325,CH,41,C_1983_MID
3773,PAR,61,P_1963_MID
1306,CH,84,C_1940_UPPER
1150,Brasil,60,B_1964_LOWER
2906,,26,X_1998_MID
217,CH,40,C_1984_MID
1195,Uruguay,65,U_1959_MID
2671,Brazil,75,B_1949_UPPER
2975,argentina,48,A_1976_MID
4497,Uruguay,-1,U_X_LOWER
2613,Mexico,44,M_1980_MID
4945,MEX,29,M_1995_UPPER
794,argentina,60,A_1964_LOWER
3950,arg,-1,A_X_LOWER
4652,BRA,31,B_1993_MID
1071,Brazil,-1,B_X_MID
4825,Paraguay,50,P_1974_MID
2714,Argentina,51,A_1973_MID
4893,CH,42,C_1982_LOWER
531,MEX,51,M_1973_UPPER
3909,URU,47,U_1977_UPPER
1682,chile,71,C_1953_UPPER
4514,argentina,84,A_1940_MID
1694,arg,84,A_1940_LOWER
665,Uruguay,38,U_1986_MID
3377,Chile,84,C_1940_UPPER
3791,URU,34,U_1990_LOWER
3326,Chile,42,C_1982_MID
4057,Brasil,53,B_1971_UPPER
3595,chile,50,C_1974_LOWER
4784,Argentina,46,A_1978_LOWER
297,Uruguay,48,U_1976_MID
3259,arg,64,A_1960_UPPER
